"OU=AdminDept,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",ADM
"OU=BJS,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",BJS
"OU=BMS,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",BMS
"OU=BWSR,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",BWSR
"OU=CAAPB,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CAAPB
"OU=CAPM,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CAPM
"OU=CBM,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CMAH
"OU=Ci-Chisago,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CI-Chisago
"OU=Ci-LittleFalls,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CI-LittleFalls
"OU=Ci-LongPrairie,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CI-LongPrairie
"OU=Ci-Minneapolis,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CI-Minneapolis
"OU=Ci-Wadena,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",CI-Wadena
"OU=CLAC,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MCLA
"OU=Co-Cottonwood,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",Co-Cottonwood
"OU=Co-Isanti,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",Co-Isanti
"OU=GCB,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",GCB
"OU=GOV,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",GOV
"OU=MDA,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MDA
"OU=MDH,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MDH
"OU=MIAC,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MIAC
"OU=MNTaxCt,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MNTaxCt
"OU=MRC,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MRC
"OU=MSAB,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MSAB
"OU=MSCOD,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MCD
"OU=MSGC,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MSGC
"OU=OBFF,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",OBFF
"OU=OET,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",OET
"OU=PERB,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",PERB
"OU=SBI,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",SBI
"OU=SHPO,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",ADM
"OU=Test OU,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",OET
"OU=WCCA,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",WCCA
"OU=MIMTest,OU=Agencies,OU=Customer Support,DC=admin,DC=state,DC=mn,DC=us",MIMTEST
